Name,Email,Position,Site,Main,Date,Time,Phone,Money,Shift,Avatar,
Andrew Austin,horrocks@att.net,"Custodial Lead, Safety",Delta (JLL) – Cargo DFW,"Delta - LaGuardia, NY",05/30/2021,4:25 PM,(888) 888-8901,$988.00,Swing,https://cdn.4insite.com/assets/r14876ff55e7c49cbb37f9ed1db6b0221_IMG_08721_t.jpg,https://cdn.4insite.com/image/4899f1471ead4e598426aa8bc601cb12_IMELDAB_t.png
Andy Raymond,johnh@yahoo.ca,Cust Foreperson,"Merck – Boston, MA","Delta - Detroit, MI",07/20/2021,6:55 AM,(222) 222-223,"$2,357.00",Graveyard,https://cdn.4insite.com/assets/b99a141d156b40799d376d5f0ca7c6cc_1000002586_t.jpg,https://cdn.4insite.com/image/4e3ef40aee0045d4abb5a540c7770611_mcpic2_t.png
Angela Fernandez,bulletin@msn.com,Custodial Supervisor,"Juniper (CBRE) – Sunnyvale, CA",Microsoft (CBRE) – Puget Sound (CBRE),05/05/2020,10:05 AM,(444) 444-4449,"$6,773.00",Day,https://cdn.4insite.com/assets/067d5aee17754d9898db1d1f6d12d927_AlesajaCrayton_t.jpg,https://cdn.4insite.com/image/59828af3b0ec4d31a45e4bfa00964e64_Hajrudin_t.png
Annette Kidd,zeller@live.com,Customer Service Rep,"Piper Aircraft Inc. – Vero Beach, FL","Delta - LaGuardia, NY",04/20/2022,7:10 PM,(000) 000-0015,"$4,060.00",Night,https://cdn.4insite.com/assets/f4af2fa5406247e4b22ee422519139ed_ArmandoMunguiaChubb_t.jpg,https://cdn.4insite.com/image/5f1644dcb6cb46e5bfded64ea8133307_IMG_2611_t.png
Anthony Salas,stellaau@sbcglobal.net,Floor Tech,Abbott – ADD - Great America,"Delta - Detroit, MI",11/20/2021,6:25 AM,(555) 555-5555,"$207,921.05",Swing,https://cdn.4insite.com/assets/5f1644dcb6cb46e5bfded64ea8133307_IMG_2611_t.jpg,https://cdn.4insite.com/image/6f8f0adb4d6e48a78d3d161319c23f47_AdrainaManrique_t.png
Antonio Kramer,leakin@msn.com,GMP Floor Tech,"Discovery Labs (CBRE) – King of Prussia, PA",Microsoft (CBRE) – Puget Sound (CBRE),02/13/2021,10:05 PM,(777) 777-7793,"$7,825.00",Graveyard,https://cdn.4insite.com/assets/586c0dfdb23545119eefda790711d3f8_IMG_1889_t.jpg,https://cdn.4insite.com/image/7f90fd3d4d474a6483c1eccafe02219d_20221202_094143_t.png
Antonio Potts,jtorkbob@aol.com,Maintenence Tech,"Mercedes Benz – Ann Arbor, MI","Delta - LaGuardia, NY",01/31/2021,10:30 AM,(000) 000-0005,$170.00,Day,https://cdn.4insite.com/assets/c011422cd51a4c96b3e6e67af1a3ef34_IMG_2627_t.jpg,https://cdn.4insite.com/image/a2d5c182f37e4286a7e41983057e0e61_AlejandraPP_t.png
April May,augusto@outlook.com,CSR,Asurion (JLL) – Gulch,"Delta - Detroit, MI",12/28/2021,9:45 PM,(333) 333-3349,"$6,122.00",Night,https://cdn.4insite.com/assets/7c18e2f66942433a9cee39601f83eb7d_20230221_130515_t.jpg,https://cdn.4insite.com/image/addec0e6-e0ea-1dc3-c7e8-41565c1672ea_t.png
Arnold Knapp,fangorn@hotmail.com,Custodian,GE Aviation – Additive (West Chester),Microsoft (CBRE) – Puget Sound (CBRE),07/29/2021,3:20 PM,(444) 444-4456,"$6,034.00",Swing,https://cdn.4insite.com/assets/1604509629.9173334_BLewispicture_t.jpg,https://cdn.4insite.com/image/b0392430-487e-69f1-1c81-25005fa16c95_t.png
Billie Zamora,maneesh@verizon.net,Custodial Supervisor,"Piper Aircraft Inc. – Vero Beach, FL","Delta - LaGuardia, NY",03/05/2021,2:45 PM,(666) 666-6677,"$9,686.00",Graveyard,https://cdn.4insite.com/assets/r2cbbe1d30f314fdf8281ea25b50625f3_image_t.jpg,https://cdn.4insite.com/image/bbf4209e88984b958f5c934e7667b29f_HasimeRexhepi_t.png
Bobbie Cohen,jschauma@mac.com,Sr Custodial Lead,Delta (JLL) – Cargo DFW,"Delta - Detroit, MI",12/18/2020,7:35 AM,(111) 111-1113,"$1,753.00",Day,https://cdn.4insite.com/assets/9ee70832ab44406b9707a4bda77482b7_CAthy_t.jpg,https://cdn.4insite.com/image/c504aa93-0312-2c68-1c85-6646852188d3_t.png
Bobbie Wong,mobileip@gmail.com,Recycle Tech,"Textron – Sacramento, CA",Microsoft (CBRE) – Puget Sound (CBRE),03/01/2021,6:35 PM,(222) 222-237,"$5,821.00",Night,https://cdn.4insite.com/assets/r594bbe6a515d4b3bbc5e6b8d9211898a_MicrosoftTeamsimage6_t.png,https://cdn.4insite.com/image/d0b90b2e69b2463e83bb6cd741ab5fbc_Eric_t.png
Bobby Davidson,magusnet@outlook.com,CSR Lead,GE Aviation – Additive (West Chester),"Delta - LaGuardia, NY",06/11/2021,6:30 AM,(666) 666-0001,"$795,093.39",Swing,https://cdn.4insite.com/assets/465c0fd23241404e8859de5b43cdc2ce_image_t.jpg,https://cdn.4insite.com/image/d762ead14ffb43b3a7bffc3353eae2d6_Capture_t.png
Bonnie Foley,russotto@att.net,"CSR, Exterior",Uber (CBRE) – Burbank,"Delta - Detroit, MI",01/01/2021,11:50 AM,(777) 777-7784,"$3,951.00",Graveyard,https://cdn.4insite.com/assets/6fa34aa76bd24c7f9e02f22bd04fc227_ChinhQuang2_t.jpg,https://cdn.4insite.com/image/dfecf63caaa94f0ba9f3d91fce6c6608_IMG_7540_t.png
Brad Mann,jrifkin@me.com,Cleanroom Tech,"Endo Pharmaceuticals Inc – Malvern, PA",Microsoft (CBRE) – Puget Sound (CBRE),04/06/2021,8:55 AM,(888) 888-8891,"$5,091.00",Day,https://cdn.4insite.com/assets/ecc3eb7cd1d24059baae90108bbd6513_Resized_R_2_t.jpg,https://cdn.4insite.com/image/e1ba0a04-44f3-511c-e88b-ac9b0a3bcf4c_t.png
Brad McCoy,pedwards@gmail.com,Custodial Lead,"Genentech – Hillsboro, OR","Delta - LaGuardia, NY",08/06/2020,9:50 PM,(444) 444-4460,"$4,905.00",Night,https://cdn.4insite.com/image/870c81ae-1282-c1a0-4acc-b7beba7d49c4_t.png,https://cdn.4insite.com/image/e4382979-efe3-0613-770f-74f7f061a95d_t.png
Bradley Bass,scottzed@sbcglobal.net,Custodial Lead II,NIKE – Adapt,"Delta - Detroit, MI",01/17/2020,3:10 PM,(222) 222-234,"$2,458.00",Swing,https://cdn.4insite.com/assets/6089d1e951924c5ebc8f1724c05899d8_EarleneWoodson_t.jpg,https://cdn.4insite.com/image/ee9b823d1b8246cd8d96f4f72918c900_FullSizeRender_t.png
Brandy Murphy,rkobes@aol.com,"Custodial Lead, Safety",General Dynamics – Bloomington,Microsoft (CBRE) – Puget Sound (CBRE),02/06/2020,3:50 PM,(111) 111-1124,"$3,894.00",Graveyard,https://cdn.4insite.com/image/b0392430-487e-69f1-1c81-25005fa16c95_t.png,https://cdn.4insite.com/image/f7d9ca3e238e4332bce7332228d3fb4f_IMG_8036_t.png
Brett Knowles,speeves@yahoo.com,Cust Foreperson,"Micron (C&W) – Folsom, CA","Delta - LaGuardia, NY",05/04/2020,12:50 PM,(111) 111-1120,"$2,165.00",Day,https://cdn.4insite.com/assets/b0c36261e68d4e3fb8cd26414edd0af2_IMG_20221104_58325_t.jpg,https://cdn.4insite.com/image/r12c3502d108540008d61b7404397bf78_AdrianaQuihui_t.png
Bruce Cunningham,ozawa667@outlook.com,Custodial Supervisor,Cigna (CBRE) – Arizona,"Delta - Detroit, MI",12/17/2021,3:30 PM,(666) 666-6678,"$8,424.00",Night,https://cdn.4insite.com/image/20046cbc-7544-e32a-e889-cd0947769de0_t.png,https://cdn.4insite.com/image/r132f54adc8944c5c918512e5f8b6894a_1000007852_t.png
Bruce Mills,ccohen@yahoo.com,Customer Service Rep,"Anthem – Denver, CO",Microsoft (CBRE) – Puget Sound (CBRE),03/15/2022,8:05 AM,(777) 777-7779,"$7,453.00",Swing,https://cdn.4insite.com/assets/2c255452075840f0b48a9e6800722b24_aliver_t.jpg,https://cdn.4insite.com/image/r2d40f3ab68084c50874cf1163069d0ae_Adelina2_t.png
Bruce Mullen,konit@me.com,Floor Tech,Lockheed Martin Space – North Denver Metro,"Delta - LaGuardia, NY",12/31/2021,9:15 AM,(333) 333-3337,"$7,247.00",Graveyard,https://cdn.4insite.com/assets/56aac24b0c5e4f29813e537865eeca0b_IMG_20210922_160106009_t.jpg,https://cdn.4insite.com/image/r424dcc1e79274504899c4c91778e57a7_20251016_160420_t.png
Byron McPherson,zeitlin@verizon.net,GMP Floor Tech,"McKesson (CBRE) – Irving, TX","Delta - Detroit, MI",08/29/2020,8:40 AM,(555) 555-5558,"$4,546.00",Day,https://cdn.4insite.com/assets/1600109314.2572758_ScreenShot20200914at11.48_t.18AM,https://cdn.4insite.com/image/r49e96f4ac0a348f2ba5b79a3f3a82b15_IMG_20260504_165133_t.png
Charles Valdez,tokuhirom@msn.com,Maintenence Tech,Hasbro (JLL) – Central Falls,Microsoft (CBRE) – Puget Sound (CBRE),01/13/2022,8:55 PM,(777) 777-7793,"$8,347.00",Night,https://cdn.4insite.com/image/48e0c0be-23ad-8b1b-abf9-ad8143e5c597_t.png,https://cdn.4insite.com/image/r7a7a4d302db841cc9359e1fc7882de75_sharedimage77_t.png
Cheryl Moses,parrt@att.net,CSR,"Technicolor (CBRE) – Memphis, TN","Delta - LaGuardia, NY",03/01/2020,10:15 PM,(000) 000-0016,"$5,911.00",Swing,https://cdn.4insite.com/assets/c49499a125c44bfd92aa5a21e982fe57_20221202_094054_t.jpg,https://cdn.4insite.com/image/rcf164a41b43540659caabd68e115b0fc_Meta_t.png
Chester Robbins,parrt@outlook.com,Custodian,"Clorox (CBRE) – Oakland, CA ","Delta - Detroit, MI",04/16/2022,9:25 AM,(555) 555-5559,"$7,109.00",Graveyard,https://cdn.4insite.com/assets/1614806764.1993403_alex_t.png,https://cdn.4insite.com/image/rde4fb108feba4dbdad1c09df927d0fe5_20250812_103625_t.png
Cindy Bennett,aracne@aol.com,Custodial Supervisor,"Merck – Boston, MA",Microsoft (CBRE) – Puget Sound (CBRE),06/26/2020,11:20 AM,(111) 111-1118,"$7,578.00",Day,https://cdn.4insite.com/assets/1594678941.8834553_seraheadshot_t.jpg,https://cdn.4insite.com/image/red1d9fed2f9243289517b8636f8e09ca_1000000478_t.png
Consuela Pareda,mccurley@msn.com,Sr Custodial Lead,NIKE – Adapt,"Delta - LaGuardia, NY",01/09/2021,10:45 AM,(333) 333-3339,"$8,561.00",Night,https://cdn.4insite.com/assets/1583421735.1421053_AlyceSaylor2_t.jpg,https://cdn.4insite.com/image/rf6d0285e3355413d8caea14c37c5f54f_AdrianaIniguez_t.png
Claire Merritt,sfoskett@me.com,Recycle Tech,"E&J Gallo Winery – Modesto, CA","Delta - Detroit, MI",04/29/2021,9:10 AM,(222) 222-226,"$4,375.00",Swing,https://cdn.4insite.com/image/b5b7a212-2846-4b11-fd95-50c0642d2563_t.png,https://cdn.4insite.com/image/64d3d91b-36e2-3cba-3b25-ef668df1dcdf_t.png
Claire Parsons,donev@mac.com,CSR Lead,Uber (CBRE) – Burbank,Microsoft (CBRE) – Puget Sound (CBRE),04/26/2021,7:25 AM,(888) 888-8889,"$8,686.00",Graveyard,https://cdn.4insite.com/image/f8e5ed6b-be8f-135c-b5e9-23e71de4062d_t.png,https://cdn.4insite.com/image/443ead305a924cecb2bcca177ab251ad_DestinyPicture_t.png
Claude Hall,juliano@yahoo.ca,"CSR, Exterior","GM (JLL) – Chandler, AZ","Delta - LaGuardia, NY",11/23/2021,9:05 PM,(000) 000-0016,"$1,543.00",Day,https://cdn.4insite.com/assets/1614178054.708322_AndreaPerrett_t.jpg,https://cdn.4insite.com/image/2aaabfc1c8d34c59ad7e469c4207aad4_AMALIAMATEOS_t.png
Claude Mayo,aukjan@aol.com,Cleanroom Tech,"State Farm (CBRE) – Duluth, GA","Delta - Detroit, MI",08/01/2021,8:20 AM,(111) 111-1114,"$3,116.00",Night,https://cdn.4insite.com/assets/e30999eb4957434692210811489f7f94_ChristyR_t.jpg,https://cdn.4insite.com/image/d45e8261ad75439e820a04b10ca2341a_Gerardo_t.png
Clinton Cook,kingjoshi@sbcglobal.net,Custodial Lead,IBM (SG) (CBRE) – MBFC,Microsoft (CBRE) – Puget Sound (CBRE),01/29/2021,10:20 PM,(111) 111-1128,"$9,983.00",Swing,https://cdn.4insite.com/image/7306ac44-047d-bbd9-2582-c0d8c7084933_t.png,https://cdn.4insite.com/image/c22244a3a27748e4a3ec9c3c7bc6cc7d_EliazarMartinezpicture_t.png
Clyde Hardin,pdbaby@yahoo.ca,Custodial Lead II,"Mercedes Benz – Ann Arbor, MI","Delta - LaGuardia, NY",04/30/2020,2:55 PM,(888) 888-8899,"$6,923.00",Graveyard,https://cdn.4insite.com/assets/503bbc9547a8497cb44bd0cf8cd21841_IMG_20221104_45991_t.jpg,https://cdn.4insite.com/image/a9e4c0d3983041c89e44f3b70d6cd7ea_processed9cf7fbbcb6974c2a96f1f6a1e0b2246e_NS0GrQ1h_t%20%281%29.png
Colleen Hull,rattenbt@yahoo.com,"Custodial Lead, Safety","McKesson (CBRE) – Irving, TX","Delta - Detroit, MI",04/10/2022,5:30 PM,(777) 777-7790,"$2,654.00",Day,https://cdn.4insite.com/assets/f3d4c5f052e3418d91a87e630d46d25f_2_t.jpg,https://cdn.4insite.com/image/9582ac79ea0a4c6b81bac5f873ace89b_FernnadoMaldonadoCarlon_t.png
Colleen Mendez,henkp@outlook.com,Cust Foreperson,Wells Fargo (CBRE) – Campus - MN,Microsoft (CBRE) – Puget Sound (CBRE),11/14/2021,4:20 PM,(777) 777-7790,"$8,755.00",Night,https://cdn.4insite.com/image/71e06da2-0baf-5fde-7763-c0abd59347e6_t.png,https://cdn.4insite.com/image/r41cbee694fa448b18d03560e8c058a36_sharedimage85_t.png
Connie Hernandez,esbeck@outlook.com,Custodial Supervisor,Johnson & Johnson – Janssen-Raritan,"Delta - LaGuardia, NY",06/15/2020,8:45 AM,(666) 666-6669,"$4,320.00",Swing,https://cdn.4insite.com/image/a148ebfa-65da-2799-1072-9acfae6753e6_t.png,https://cdn.4insite.com/image/de7b5dbdff6947ec8579383db7ecab23_dionne_t.png
Corey Castro,dexter@att.net,Customer Service Rep,Abbott – ADD - Great America,"Delta - Detroit, MI",03/24/2020,7:40 PM,(111) 111-1126,"$5,954.00",Graveyard,https://cdn.4insite.com/assets/1608127214.275704_BrandonRodrigues_t.jpg,https://cdn.4insite.com/image/d210c43d6800476fa54d6bc11bc1671e_1000035160_t.png
Daisy Holcomb,bockelboy@msn.com,Floor Tech,"Clorox (CBRE) – Oakland, CA ",Microsoft (CBRE) – Puget Sound (CBRE),07/03/2021,1:50 PM,(444) 444-4454,"$1,678.00",Day,https://cdn.4insite.com/assets/1577776047.9164042_yes2_t.jpg,https://cdn.4insite.com/image/racba52fe01a94201948c713b243320b7_Fye_t.png
Dana Pate,boein21@yahoo.ca,GMP Floor Tech,Intel (Amentum) – Bowers,"Delta - LaGuardia, NY",05/22/2021,8:00 PM,(555) 555-5570,"$8,734.00",Night,https://cdn.4insite.com/image/0ce0b502-777f-5289-30a1-39e05e4ab40f_t.png,https://cdn.4insite.com/image/ra61e3788cd9a406e9feead0398076835_FaizaAbdirahman_t.png
Danielle Stokes,portele@me.com,Maintenence Tech,"McKesson (CBRE) – Irving, TX","Delta - Detroit, MI",02/08/2022,1:05 PM,(444) 444-4453,"$6,105.00",Swing,https://cdn.4insite.com/assets/7f90fd3d4d474a6483c1eccafe02219d_20221202_094143_t.jpg,https://cdn.4insite.com/image/ra09f1830355444b594f9d1bff9db3d73_file_000000004f5071f7a76d0c997440972a1_t.png
Darlene Bullock,kuparine@live.com,CSR,"Microsoft (CBRE) – Puget Sound, WA",Microsoft (CBRE) – Puget Sound (CBRE),09/20/2020,4:45 PM,(333) 333-3347,"$2,914.00",Graveyard,https://cdn.4insite.com/assets/4149e7a1c9884b5790d0816c59232625_PDCpics011_t.jpg,https://cdn.4insite.com/image/rda12566409ff4d97861069a17547c11c_1000007948_t.png
Darren Dickson,grothoff@comcast.net,Custodian,"Illumina – San Diego, CA","Delta - LaGuardia, NY",03/12/2020,6:40 PM,(333) 333-3348,"$9,114.00",Day,https://cdn.4insite.com/image/c4eca239-09b2-b0e5-fead-226214e743c0_t.png,https://cdn.4insite.com/image/05bd3b28-b1be-4f55-80ac-6bd41fa07968_t.png
Dawn Chapman,kuparine37@msn.com,Custodial Supervisor,"Micron (C&W) – Boise, ID","Delta - Detroit, MI",12/12/2021,3:55 PM,(222) 222-235,"$5,976.00",Night,https://cdn.4insite.com/assets/ceaa86784444447f97140fd773a7b7e6_IMG_5952_t.jpg,https://cdn.4insite.com/image/1582093447.933793_IMG_30041_t.png
Dean Rojas,timlinux@mac.com,Sr Custodial Lead,Johnson & Johnson – Janssen-Raritan,Microsoft (CBRE) – Puget Sound (CBRE),07/22/2021,1:10 PM,(555) 555-5564,"$9,893.00",Swing,https://cdn.4insite.com/assets/rfafbb2760ff245ceb385db497dbe18c0_image_t.jpg,https://cdn.4insite.com/image/1580527295.3800085_20200130_175733_resized_t.png
Debra Dunlap,syrinx@yahoo.ca,Recycle Tech,Charles Schwab (JLL) – Boulder,"Delta - LaGuardia, NY",07/10/2020,3:40 PM,(888) 888-8900,"$8,315.00",Graveyard,https://cdn.4insite.com/image/7f6b89e0-04e5-907e-8d03-4c044712fc6e_t.png,https://cdn.4insite.com/image/rb879cfafa58844bda39629d8efe20534_RalphProfile_t.png
Derek MacDonald,jonadab@live.com,CSR Lead,"Nestle – Bridgewater, NJ - Healthcare","Delta - Detroit, MI",09/28/2020,7:10 AM,(555) 555-5556,"$8,513.00",Day,https://cdn.4insite.com/image/cd7aac60-6f50-5751-3ec9-48b7926cab7e_t.png,https://cdn.4insite.com/image/r70a56d53dcb1406d9fc497c26ac7f3ea_Pham_t.png
Don Guzman,tskirvin@verizon.net,"CSR, Exterior",Hasbro (JLL) – Central Falls,Microsoft (CBRE) – Puget Sound (CBRE),07/01/2020,4:30 PM,(000) 000-0013,"$8,511.00",Night,https://cdn.4insite.com/image/72e0ab8c-59c4-ad0c-1675-e02b0a26b5be_t.png,https://cdn.4insite.com/image/01713d45bf964b82a782824361ab88fe_HungNguyen_t.png
Donald Rodriguez,hachi@me.com,Cleanroom Tech,"Merck (Sodexo) – Branchburg, NJ","Delta - LaGuardia, NY",11/18/2020,11:40 AM,(555) 555-5562,"$5,656.00",Swing,https://cdn.4insite.com/image/69561eb4-5acb-44ce-3402-320f2adfea88_t.png,https://cdn.4insite.com/image/067d5aee17754d9898db1d1f6d12d927_AlesajaCrayton_t.png
Doris Lewis,wortmanj@icloud.com,Custodial Lead,General Dynamics – Bloomington,"Delta - Detroit, MI",08/02/2021,11:25 AM,(222) 222-229,"$8,934.00",Graveyard,https://cdn.4insite.com/assets/refb967dcb56840489fab507c47056d2c_profilepic2026_t.jpg,https://cdn.4insite.com/image/1587958332.0398617_LNguyen_t.png
Dorothy Talley,nasor@icloud.com,Custodial Lead II,Asurion (JLL) – Gulch,Microsoft (CBRE) – Puget Sound (CBRE),11/28/2021,5:20 PM,(555) 555-5568,"$1,964.00",Day,https://cdn.4insite.com/image/e2841eff-3ff3-a6f7-998d-9c894965fbde_t.png,https://cdn.4insite.com/image/1594678941.8834553_seraheadshot_t.png
Douglas Kidd,carmena@yahoo.com,"Custodial Lead, Safety","Admedes – Admedes, Cartago","Delta - LaGuardia, NY",09/04/2021,3:25 PM,(555) 555-5567,"$8,675.00",Night,https://cdn.4insite.com/image/3039c49d-c687-a137-9faa-74d272a12057_t.png,https://cdn.4insite.com/image/1faba6540d1046ce8f74582cd5134dca_a3f56ef4a1584863a5be7843fca568cb_t.png
Dustin Patterson,isaacson@mac.com,Cust Foreperson,Charles Schwab (JLL) – Boulder,"Delta - Detroit, MI",09/17/2020,8:05 PM,(666) 666-6681,"$3,434.00",Swing,https://cdn.4insite.com/image/3eef672f-3a70-5deb-a1a2-1bba22094b80_t.png,https://cdn.4insite.com/image/20046cbc-7544-e32a-e889-cd0947769de0_t.png
Eddie Forbes,dkrishna@sbcglobal.net,Custodial Supervisor,"GE Healthcare – Paducah, KY",Microsoft (CBRE) – Puget Sound (CBRE),05/02/2020,9:40 AM,(888) 888-8892,"$2,002.00",Graveyard,https://cdn.4insite.com/assets/1579645815.2171333_EdithBuruca_t.jpg,https://cdn.4insite.com/image/22cfeacabaf341eaa1f59f5b57dcc392_sharedimage79_t.png
Edward Marshall,druschel@msn.com,Customer Service Rep,"Nestle – Bridgewater, NJ - Healthcare","Delta - LaGuardia, NY",11/22/2021,8:25 PM,(111) 111-1127,"$3,561.00",Day,https://cdn.4insite.com/image/845bcb1a-47ce-a7a8-f040-22aa690c1c7e_t.png,https://cdn.4insite.com/image/3c4fbb51f327498a8b14592ba244d15d_20221116_063815_t.png
Elaine Powers,bdthomas@yahoo.com,Floor Tech,"Lockheed Martin Corporate – Denver, CO","Delta - Detroit, MI",02/26/2021,5:00 PM,(666) 666-6680,"$9,860.00",Night,https://cdn.4insite.com/assets/2c255452075840f0b48a9e6800722b24_aliver_t.jpg,https://cdn.4insite.com/image/41fd825c-ce0a-63c1-96d4-3a323caaacc8_t.png
Emily Molina,mahbub@icloud.com,GMP Floor Tech,Iron Mountain Singapore (CBRE) – Tuas,Microsoft (CBRE) – Puget Sound (CBRE),07/24/2021,7:05 PM,(888) 888-8903,$254.00,Swing,https://cdn.4insite.com/assets/r9a9b2081f9da4fb296757daec33b0a30_16964434059926868957377690406225_t.jpg,https://cdn.4insite.com/image/46e26cd24a2d4410af6a7fcaca905c5a_Frankklyn_t.png
Emma Skinner,dmbkiwi@outlook.com,Maintenence Tech,"Micron (C&W) – Boise, ID","Delta - LaGuardia, NY",01/02/2020,11:30 AM,(333) 333-3340,"$5,994.00",Graveyard,https://cdn.4insite.com/image/64d3d91b-36e2-3cba-3b25-ef668df1dcdf_t.png,https://cdn.4insite.com/image/4899f1471ead4e598426aa8bc601cb12_IMELDAB_t.png
Eric Payne,sinclair@aol.com,CSR,"HP (JLL) – Aguadilla, PR ","Delta - Detroit, MI",01/24/2020,2:50 PM,(777) 777-7788,$287.00,Day,https://cdn.4insite.com/assets/375f69e40ded4cb7be9baa2cc7429eb0_20241215_140710_t.jpg,https://cdn.4insite.com/image/4e3ef40aee0045d4abb5a540c7770611_mcpic2_t.png
Erin Whitley,daveed@live.com,Custodian,General Dynamics – Bloomington,Microsoft (CBRE) – Puget Sound (CBRE),10/12/2020,7:00 AM,(333) 333-3334,"$1,139.00",Night,https://cdn.4insite.com/assets/r2d40f3ab68084c50874cf1163069d0ae_Adelina2_t.jpg,https://cdn.4insite.com/image/59828af3b0ec4d31a45e4bfa00964e64_Hajrudin_t.png
Eva Sharp,bcevc@hotmail.com,Custodial Supervisor,"GE Aviation – Terre Haute, IN","Delta - LaGuardia, NY",02/07/2022,10:10 AM,(555) 555-5560,"$9,234.00",Swing,https://cdn.4insite.com/assets/909695ae86d84dd5917532dd3037af8c_AgustinaGarcia_DB_1_t.jpg,https://cdn.4insite.com/image/5f1644dcb6cb46e5bfded64ea8133307_IMG_2611_t.png
Evelyn Dalton,rtanter@comcast.net,Sr Custodial Lead,Uber (CBRE) – Burbank,"Delta - Detroit, MI",04/22/2022,4:15 PM,(666) 666-6679,"$6,482.00",Graveyard,https://cdn.4insite.com/assets/98e43f08a54d44efb022f444da0a392d_Anthony_t.jpg,https://cdn.4insite.com/image/6f8f0adb4d6e48a78d3d161319c23f47_AdrainaManrique_t.png
